UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; VM10233-4 ;03-06-2020 23:59:59;10;true
; VM10233-5 ;03-06-2020 23:59:59;10;true
; VM10239-1 ;03-06-2020 23:59:59;10;true
; VM10239-2 ;03-06-2020 23:59:59;10;true
; VM10239-3 ;03-06-2020 23:59:59;10;true
; VM10239-4 ;03-06-2020 23:59:59;10;true
; VM10239-5 ;03-06-2020 23:59:59;10;true
; VM102838-1 ;03-06-2020 23:59:59;10;true
; VM102838-2 ;03-06-2020 23:59:59;10;true
; VM102838-3 ;03-06-2020 23:59:59;10;true
; VM102838-4 ;03-06-2020 23:59:59;10;true
; VM102838-5 ;03-06-2020 23:59:59;10;true
; VM102898-1 ;03-06-2020 23:59:59;10;true
; VM102898-2 ;03-06-2020 23:59:59;10;true
; VM102898-3 ;03-06-2020 23:59:59;10;true
; VM102898-4 ;03-06-2020 23:59:59;10;true
; VM102898-5 ;03-06-2020 23:59:59;10;true
; VM10321-1 ;03-06-2020 23:59:59;10;true
; VM10321-2 ;03-06-2020 23:59:59;10;true
; VM10321-3 ;03-06-2020 23:59:59;10;true
; VM10321-4 ;03-06-2020 23:59:59;10;true
; VM10321-5 ;03-06-2020 23:59:59;10;true
; VM104418-1 ;03-06-2020 23:59:59;10;true
; VM104418-2 ;03-06-2020 23:59:59;10;true
; VM104418-3 ;03-06-2020 23:59:59;10;true
; VM104418-4 ;03-06-2020 23:59:59;10;true
; VM104418-5 ;03-06-2020 23:59:59;10;true
; VM105338-1 ;03-06-2020 23:59:59;10;true
; VM105338-2 ;03-06-2020 23:59:59;10;true
; VM105338-3 ;03-06-2020 23:59:59;10;true
; VM105338-4 ;03-06-2020 23:59:59;10;true
; VM105338-5 ;03-06-2020 23:59:59;10;true
; VM105478-1 ;03-06-2020 23:59:59;10;true
; VM105478-2 ;03-06-2020 23:59:59;10;true
; VM105478-3 ;03-06-2020 23:59:59;10;true
; VM105478-4 ;03-06-2020 23:59:59;10;true
; VM105478-5 ;03-06-2020 23:59:59;10;true
; VM106439-1 ;03-06-2020 23:59:59;10;true
; VM106439-2 ;03-06-2020 23:59:59;10;true
; VM106439-3 ;03-06-2020 23:59:59;10;true
; VM106439-4 ;03-06-2020 23:59:59;10;true
; VM106439-5 ;03-06-2020 23:59:59;10;true
; VM106498-1 ;03-06-2020 23:59:59;10;true
; VM106498-2 ;03-06-2020 23:59:59;10;true
; VM106498-3 ;03-06-2020 23:59:59;10;true
; VM106498-4 ;03-06-2020 23:59:59;10;true
; VM106498-5 ;03-06-2020 23:59:59;10;true
; VM106818-1 ;03-06-2020 23:59:59;10;true
; VM106818-2 ;03-06-2020 23:59:59;10;true
; VM106818-3 ;03-06-2020 23:59:59;10;true
; VM106818-4 ;03-06-2020 23:59:59;10;true
; VM106818-5 ;03-06-2020 23:59:59;10;true
; VM10719-1 ;03-06-2020 23:59:59;10;true
; VM10719-2 ;03-06-2020 23:59:59;10;true
; VM10719-3 ;03-06-2020 23:59:59;10;true
; VM10719-4 ;03-06-2020 23:59:59;10;true
; VM10719-5 ;03-06-2020 23:59:59;10;true
; VM107338-1 ;03-06-2020 23:59:59;10;true
; VM107338-2 ;03-06-2020 23:59:59;10;true
; VM107338-3 ;03-06-2020 23:59:59;10;true
; VM107338-4 ;03-06-2020 23:59:59;10;true
; VM107338-5 ;03-06-2020 23:59:59;10;true
; VM107378-1 ;03-06-2020 23:59:59;10;true
; VM107378-2 ;03-06-2020 23:59:59;10;true
