UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; EM101738-5 ;03-06-2020 23:59:59;10;true
; EM101758-1 ;03-06-2020 23:59:59;10;true
; EM101758-2 ;03-06-2020 23:59:59;10;true
; EM101758-3 ;03-06-2020 23:59:59;10;true
; EM101758-4 ;03-06-2020 23:59:59;10;true
; EM101758-5 ;03-06-2020 23:59:59;10;true
; EM10239-1 ;03-06-2020 23:59:59;10;true
; EM10239-2 ;03-06-2020 23:59:59;10;true
; EM10239-3 ;03-06-2020 23:59:59;10;true
; EM10239-4 ;03-06-2020 23:59:59;10;true
; EM10239-5 ;03-06-2020 23:59:59;10;true
; EM102538-1 ;03-06-2020 23:59:59;10;true
; EM102538-2 ;03-06-2020 23:59:59;10;true
; EM102538-3 ;03-06-2020 23:59:59;10;true
; EM102538-4 ;03-06-2020 23:59:59;10;true
; EM102538-5 ;03-06-2020 23:59:59;10;true
; EM102838-1 ;03-06-2020 23:59:59;10;true
; EM102838-2 ;03-06-2020 23:59:59;10;true
; EM102838-3 ;03-06-2020 23:59:59;10;true
; EM102838-4 ;03-06-2020 23:59:59;10;true
; EM102838-5 ;03-06-2020 23:59:59;10;true
; EM102898-1 ;03-06-2020 23:59:59;10;true
; EM102898-2 ;03-06-2020 23:59:59;10;true
; EM102898-3 ;03-06-2020 23:59:59;10;true
; EM102898-4 ;03-06-2020 23:59:59;10;true
; EM102898-5 ;03-06-2020 23:59:59;10;true
; EM10321-1 ;03-06-2020 23:59:59;10;true
; EM10321-2 ;03-06-2020 23:59:59;10;true
; EM10321-3 ;03-06-2020 23:59:59;10;true
; EM10321-4 ;03-06-2020 23:59:59;10;true
; EM10321-5 ;03-06-2020 23:59:59;10;true
; EM10329-1 ;03-06-2020 23:59:59;10;true
; EM10329-2 ;03-06-2020 23:59:59;10;true
; EM10329-3 ;03-06-2020 23:59:59;10;true
; EM10329-4 ;03-06-2020 23:59:59;10;true
; EM10329-5 ;03-06-2020 23:59:59;10;true
; EM103578-1 ;03-06-2020 23:59:59;10;true
; EM103578-2 ;03-06-2020 23:59:59;10;true
; EM103578-3 ;03-06-2020 23:59:59;10;true
; EM103578-4 ;03-06-2020 23:59:59;10;true
; EM103578-5 ;03-06-2020 23:59:59;10;true
; EM104418-1 ;03-06-2020 23:59:59;10;true
; EM104418-2 ;03-06-2020 23:59:59;10;true
; EM104418-3 ;03-06-2020 23:59:59;10;true
; EM104418-4 ;03-06-2020 23:59:59;10;true
