UPDATE SingleCodeCoupon;couponId[unique=true];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;active[default=true]
; A0130 ;03-06-2020 23:59:59;10;true
; A0131 ;03-06-2020 23:59:59;10;true
; A0132 ;03-06-2020 23:59:59;10;true
; A0133 ;03-06-2020 23:59:59;10;true
; A0134 ;03-06-2020 23:59:59;10;true
; A0135 ;03-06-2020 23:59:59;10;true
; A0136 ;03-06-2020 23:59:59;10;true
; A0137 ;03-06-2020 23:59:59;10;true
; A0138 ;03-06-2020 23:59:59;10;true
; A0139 ;03-06-2020 23:59:59;10;true
; A0140 ;03-06-2020 23:59:59;10;true
; A0141 ;03-06-2020 23:59:59;10;true
; A0142 ;03-06-2020 23:59:59;10;true
; A0143 ;03-06-2020 23:59:59;10;true
; A0144 ;03-06-2020 23:59:59;10;true
; A0145 ;03-06-2020 23:59:59;10;true
; A0146 ;03-06-2020 23:59:59;10;true
; A0147 ;03-06-2020 23:59:59;10;true
; A0148 ;03-06-2020 23:59:59;10;true
; A0149 ;03-06-2020 23:59:59;10;true
; A0150 ;03-06-2020 23:59:59;10;true
; A0151 ;03-06-2020 23:59:59;10;true
; A0152 ;03-06-2020 23:59:59;10;true
; A0153 ;03-06-2020 23:59:59;10;true
; A0154 ;03-06-2020 23:59:59;10;true
; A0155 ;03-06-2020 23:59:59;10;true
; A0156 ;03-06-2020 23:59:59;10;true
; A0157 ;03-06-2020 23:59:59;10;true
; A0158 ;03-06-2020 23:59:59;10;true
; A0159 ;03-06-2020 23:59:59;10;true
; A0160 ;03-06-2020 23:59:59;10;true
; A0161 ;03-06-2020 23:59:59;10;true
; A0162 ;03-06-2020 23:59:59;10;true
; A0163 ;03-06-2020 23:59:59;10;true
; A0164 ;03-06-2020 23:59:59;10;true
; A0165 ;03-06-2020 23:59:59;10;true
; A0166 ;03-06-2020 23:59:59;10;true
; A0167 ;03-06-2020 23:59:59;10;true
; A0168 ;03-06-2020 23:59:59;10;true
; A0169 ;03-06-2020 23:59:59;10;true
; A0170 ;03-06-2020 23:59:59;10;true
; A0171 ;03-06-2020 23:59:59;10;true
; A0172 ;03-06-2020 23:59:59;10;true
; A0173 ;03-06-2020 23:59:59;10;true
; A0174 ;03-06-2020 23:59:59;10;true
; A0175 ;03-06-2020 23:59:59;10;true
; A0176 ;03-06-2020 23:59:59;10;true
; A0177 ;03-06-2020 23:59:59;10;true
; A0178 ;03-06-2020 23:59:59;10;true
; A0179 ;03-06-2020 23:59:59;10;true
; A0180 ;03-06-2020 23:59:59;10;true
; A0181 ;03-06-2020 23:59:59;10;true
; A0182 ;03-06-2020 23:59:59;10;true
; A0183 ;03-06-2020 23:59:59;10;true
; A0184 ;03-06-2020 23:59:59;10;true
; A0185 ;03-06-2020 23:59:59;10;true
; A0186 ;03-06-2020 23:59:59;10;true
; A0187 ;03-06-2020 23:59:59;10;true
; A0188 ;03-06-2020 23:59:59;10;true
; A0189 ;03-06-2020 23:59:59;10;true
; A0190 ;03-06-2020 23:59:59;10;true
; A0191 ;03-06-2020 23:59:59;10;true
; A0192 ;03-06-2020 23:59:59;10;true
; A0193 ;03-06-2020 23:59:59;10;true
; A0194 ;03-06-2020 23:59:59;10;true
; A0195 ;03-06-2020 23:59:59;10;true
; A0196 ;03-06-2020 23:59:59;10;true
; A0197 ;03-06-2020 23:59:59;10;true
; A0198 ;03-06-2020 23:59:59;10;true
