UPDATE SingleCodeCoupon;couponId[unique=true];name[lang=pt];startDate[dateformat=dd-MM-yyyy HH:mm:ss];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;maxTotalRedemptions;active[default=true]
;ANIVER52;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER53;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER54;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER55;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER56;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER57;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER58;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER59;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER60;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER61;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER62;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER63;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER64;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER65;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER66;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER67;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER68;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER69;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER70;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER71;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER72;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER73;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER74;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER75;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER76;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER77;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER78;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER79;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER80;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER81;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER82;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER83;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER84;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER85;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER86;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER87;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER88;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER89;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER90;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER91;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER92;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER93;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER94;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER95;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER96;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER97;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER98;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER99;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER100;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER101;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER102;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER103;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER104;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER105;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER106;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER107;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
